route_id, stop_id_1, stop_id_2 
1352,temp_1667,temp_1669
1365,temp_1418,temp_255
1380,145,145
1400,1061,1061
1401,1061,1061
1422,1210,1210
1423,temp_2855,temp_2855
1451,temp_107,temp_105
1451,temp_2067,temp_2065
1488,temp_3569,temp_3569
1503,740,740
1507,temp_107,temp_105
1512,temp_3502,temp_3502
1519,temp_107,temp_105
1533,temp_3569,1007
1543,1284,1284
1573,temp_1418,temp_255
1580,temp_1418,temp_1535
1585,temp_1669,temp_1667
1626,2375,2375
1630,1355,1355
1644,1210,1210
1679,temp_2065,temp_2067
1713,temp_1628,temp_1628
1713,temp_1628,1217
1723,740,740
1732,temp_1628,temp_1628
1732,temp_1628,1217
1761,temp_645,temp_645
1775,302,302
1776,temp_4656,temp_636
1842,3420,3420
1850,temp_6078,temp_6078
1860,1061,1061
1897,temp_8859,363
1907,temp_4959,261
1918,temp_107,temp_105
1920,temp_107,temp_105
1935,798,798
1958,temp_107,temp_105
1981,6,temp_2413
1987,temp_8230,temp_8230
1998,temp_3569,1007
2008,temp_674,temp_674
2035,temp_1851,temp_5872
2056,temp_1704,temp_5724
2077,temp_1794,temp_1794
2079,853,temp_8586
2089,1699,1699
2102,2375,2375
2103,2375,2375
2104,1044,1044
2115,temp_4020,temp_0
2149,temp_6948,3470
2166,temp_6317,temp_6317
